company_id;industry;naics_description;sic_description;categories;naics_code;naics_codes;sic_code;sic_codes;employees_range;employees;revenue_range;revenue;year_founded;Category;V_Oct19;V_Nov19;V_Dec19;V_Jan20;V_Feb20;V_Mar20;S1_Jan20;S1_Feb20;S1_Mar20;S2_Apr19;S2_May19;S2_Jun19;S2_Jul19;S2_Aug19;S2_Sep19;S2_Oct19;S2_Nov19;S2_Dec19;S2_Jan20;S2_Feb20;industry_ismissing;naics_description_ismissing;sic_description_ismissing;categories_ismissing;naics_code_ismissing;naics_codes_ismissing;sic_code_ismissing;sic_codes_ismissing;employees_range_ismissing;employees_ismissing;revenue_range_ismissing;revenue_ismissing;year_founded_ismissing;Category_ismissing;V_Oct19_ismissing;V_Nov19_ismissing;V_Dec19_ismissing;V_Jan20_ismissing;V_Feb20_ismissing;V_Mar20_ismissing;num_missing
1;Computer Software;Computer Systems Design and Related Services;Computer Programming, Data Processing, And Other Computerrelated;insurance:2.16, education:0.54, software:0.27, computer programming:0.54, data processing:0.54, insurance agency:6.76, computer systems design:0.54, auto insurance:31.08, car insurance:60.0, safety:0.81, insurance carrier:1.08, internet:0.54, insurance company:1.35;54151.0;524210, 54151;737.0;6411, 737;10 - 50;42.0;;453430000.0;2012.0;Finance>Insurance;300000.0;240000.0;260000.0;400000.0;430000.0;420000.0;1005;3006;2611;142882;71213;172;196;208;1400;1400;24350;22062;36086;49631;False;False;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;3
2;Consumer Services;Security Systems Services (except Locksmiths);Security systems services;alarm system:7.32, art:0.49, environmental:0.73, live video streaming:2.68, vans:1.46, smart home:1.95, technology:0.24, mobile application development:0.98, drill:1.71, home automation:1.71, security:6.34, wire:3.66, shook:2.93, intrusion:1.95, shipping:0.98, automation solution:3.9, security system:10.24, cellular:2.93, home security:70.0, wireless:16.59, business protection:2.44, consumer technology:5.37, activation:1.71, dodj events:1.46;561621.0;561621;7382.0;7382;500 - 1000;972.0;100000000 - 200000000;162292643.0;2007.0;Finance>BankingCreditandLending;190000.0;300000.0;270000.0;230000.0;210000.0;180000.0;11616;11752;11856;25613;28229;28437;28432;32160;37393;52061;84560;202827;214390;215387;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;2
3;Wholesale;Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers;Wholesale Trade - Durable Goods;hvac:13.89, plumbing product:2.78, power tool:0.97, water heater:0.83, stainless steel:1.39, waste water:1.11, gate valves:1.39, straps:1.11, switches:1.67, water treatment plant:1.25, distribution center:1.94, municipality:1.67, water meter:1.39, erosion control:4.44, homeowner:10.56, hardware stores:2.5, water treatment:0.83, hvac contractors:1.39, universities:0.56, carbon:0.69, registers:1.25, pipe:13.89, heating:0.83, clamp:0.97, hardware:1.67, ceiling fans:1.11, brass:0.83, lighting:1.67, plumbing fixtures:1.25, plumbing:1.67, check valves:1.39, brackets:0.97, fastener:1.94, plastic:0.83, urinal:1.39, nursery:1.39, schools:0.28, struts:1.11, brushes:0.97, municipal:0.69, hoods:1.11, sensor:0.69, valve:15.28, flange:4.44, geosynthetics:3.06, repair:1.11, steel:0.56, wholesale trade:9.72, sinks:0.97, architect:0.56, gauges:1.11, retail dealer:0.83, retail:0.56, heating and cooling:0.83, plumbing supply:90.0, tubing:3.89, ventilation products:1.39, government:0.42, wholesaling:0.42, stove:0.97, hospitality:0.42, copper:1.39, kitchen:0.42, durable goods:7.78, ball valve:1.25, bath:0.56, hvac installation:1.39, health care:0.14, trading companies:0.69, faucet:2.92, oven:0.83, pumps:2.08, designer:0.42, hvac product:26.39, contractors:7.78, commercial plumbing:2.22, trade:0.56, waterworks:12.5, outdoor lighting:1.11, pipe fittings:1.25, hangers:2.22, onsite service:1.25, accessory:1.11, fitting:13.89, plumbing contractors:1.39, fencing:1.67;4237.0;221310, 221330, 237310, 238210, 238220, 325620, 326122, 326191, 332112, 332911, 332912, 332913, 332919, 332999, 333911, 339991, 42, 423390, 4234, 423450, 423610, 4237, 423710, 423720, 423730, 423740, 423830, 423840, 44, 4441, 444130, 444190, 54;50.0;1711, 1721, 2844, 3053, 3088, 3089, 3429, 3432, 3463, 3491, 3492, 3494, 3561, 4941, 4961, 50, 5032, 5039, 5047, 5063, 5064, 5072, 5075, 5078, 5085, 59, 7389, 7699;> 10000;27188.0;> 1000000000;1854871635.0;1953.0;HomeandGarden>HomeandGarden;1000000.0;970000.0;890000.0;1100000.0;1000000.0;1100000.0;15688;11119;14704;13526;152;247;255;293;2539;15366;19223;24470;30510;32894;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;1
4;Restaurants;Limited-Service Restaurants;Eating places;meal:15.24, snack:19.05, wellness:0.71, health:0.24, juice:19.05, food:20.0, grocery store:4.29;722513.0;4451, 445299, 722, 7223, 722513;5812.0;541, 5812;500 - 1000;887.0;100000000 - 200000000;143165680.0;2010.0;FoodandDrink>RestaurantsandDelivery;55000.0;45000.0;60000.0;120000.0;100000.0;130000.0;12584;11436;13411;2317;5783;5481;5681;5738;6133;5956;6528;21309;26329;29361;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;2
5;Higher Education;Colleges, Universities, and Professional Schools;Colleges and universities;college:20.0, education:1.54, universities:3.08, laboratory:9.23, scientific:2.31, scholarship:13.85, entrepreneurship:32.31, tank:3.85, professional school:3.85, colleges and university:5.38, food:6.15;611310.0;54, 61, 611, 611110, 611310;8221.0;7389, 8211, 8221;1000 - 5000;2305.0;200000000 - 1000000000;251081595.0;1919.0;ScienceandEducation>UniversitiesandColleges;420000.0;350000.0;320000.0;270000.0;270000.0;270000.0;2794;1452;2468;107897;91683;1564;2746;4247;7179;9542;21457;32173;36183;37942;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0
6;Retail;Retail Trade;Miscellaneous Retail;door:0.61, factory:0.61, art:0.61, footwear:2.73, leather shoes:10.0, craft:1.21, heritage:0.61, store:0.3, shoes:34.55, retail:0.91, leather:50.0, leather goods:2.42, consumer merchandise:0.91, trade:0.3, shipping:16.36, clothing:24.55, boot:55.45, fashion:0.91, machinery:0.61;44.0;424330, 44, 448210, 45211;59.0;51, 5137, 5139, 5311, 59;1000 - 5000;4557.0;200000000 - 1000000000;892105185.0;1863.0;Lifestyle>FashionandApparel;1000000.0;1050000.0;1050000.0;630000.0;910000.0;1050000.0;58807;58234;37683;11372;8751;6398;6402;6602;6781;9916;12412;22853;23352;30206;False;False;False;False;False;False;False;False;False;True;False;True;False;False;True;True;True;False;False;False;5
7;Retail;Miscellaneous Store Retailers;Miscellaneous Retail;mules:3.67, sandals:2.67, merchandising:1.67, retail:2.67, jeans:4.0, ski:3.33, specialty retail:1.67, flats:2.0, cocktail:3.33, swimwear:2.33, jackets:2.0, sweater:4.67, wardrobe:4.67, boot:2.0, jewelry:1.0, activewear:3.0, retailer:5.0, pumps:1.67, bone:2.0, designer:30.0, store:2.67, shoes:4.0, global positioning system:1.67, fashion retail:3.0, trade:1.33, carpet:3.33, luxury:9.0, clothing:11.0, outerwear:2.67, neighborhood:1.33, accessory:0.67, fashion:11.0;453.0;424330, 44, 448120, 448210, 45, 453, 812112;59.0;51, 5137, 5621, 59, 7231;200 - 500;451.0;10000000 - 50000000;38129786.0;1993.0;Lifestyle>FashionandApparel;1000000.0;1050000.0;1050000.0;630000.0;570000.0;720000.0;36583;42245;69838;8291;2468;2568;2713;4403;7280;7965;14736;21585;25673;27030;False;False;False;False;False;False;False;False;False;True;False;True;False;False;True;True;True;False;False;False;5
8;Construction;Construction;Construction - General Contractors & Operative Builders;home improvement:2.11, solar energy:3.68, solar power:7.37, solar:40.0, commercial solar:9.47, inverter:3.68, commercial enterprise:4.74, solar energy system:10.53, renewable energy:7.89, roofing:2.63, power purchase agreement:5.79, general contractor:3.16, solar installation:5.26, residential solar:5.26, design:2.63, construction:3.68, power generation:3.16, racking:4.21, solar panel:29.47, commercial property:2.63, solar electric:4.74, solar financing:12.63, energy:1.05;23.0;23, 236, 237130, 238160, 238210, 238290;15.0;15, 1629, 1711, 1761;200 - 500;445.0;50000000 - 100000000;75781304.0;2010.0;;1000000.0;1050000.0;1050000.0;950000.0;960000.0;998539.0;0;618;35;16532;8722;10315;830;1924;2744;3623;61638;62572;63572;64300;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;True;True;True;True;True;9
9;Retail;Retail Trade;Miscellaneous Retail;dress:12.96, casual shoes:33.33, online shopping:24.44, shoe store:10.0, scarf:15.56, athletic shoes:40.74, retail dealer:4.44, sandals:23.7, private label:2.22, retail:3.7, network:0.74, fitness:7.78, talent:1.11, microsoft .net:1.11, scanner:4.44, boot:20.0, belts:13.33, waste management:4.44, jewelry:6.67, footwear:60.0, retailer:16.67, socks:18.15, retail store:11.11, carnival:47.41, wallets:15.56, store:12.59, shoes:38.52, remediation service:5.19, sale:4.44, handbag:15.56, trade:1.48, scales:5.19, backpack:12.96, accessory:8.15, sport:12.59, athletic:12.96;44.0;423910, 424330, 44, 448210, 45211, 562;59.0;51, 5137, 5139, 5311, 5661, 59;1000 - 5000;4700.0;> 1000000000;1040000000.0;1996.0;Lifestyle>FashionandApparel;3500000.0;6000000.0;7050000.0;4600000.0;4100000.0;4200000.0;50741;49523;48040;5302;9266;10106;10902;11487;11474;14506;49968;55369;61951;63605;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0
10;Insurance;Insurance Carriers and Related Activities;Insurance Carriers;insurance:12.73, associations:0.3, motor:0.45, travel insurance:80.0, health insurance:6.06, medical insurance:9.7, distribution:0.91, retail:0.61, general purpose:1.36, security:0.61, government:3.18, federal government:1.06, club:0.45, correctional institutions:1.97, leisure:0.45, health care:0.76, insurance company:2.27, roof:1.21, brokerage:0.45, consultancy:0.15, international travel:21.82, health:1.06, tour:0.45, benefit management:10.91, vision:0.61, volunteer:1.52, custom made:1.82, peace corps:1.67, medical tourism:1.36, insurance carrier:3.64, travel health insurance:1.97, travel:1.52, administrative service:4.85;524.0;52, 524, 524114, 524210, 52429, 524292, 541611, 621910, 622110, 721;63.0;4119, 63, 6321, 6371, 6411, 70, 8062, 8742;200 - 500;263.0;10000000 - 50000000;27621687.0;1993.0;Finance>Insurance;100000.0;100000.0;1050000.0;170000.0;150000.0;240000.0;25867;20586;21623;33372;30266;27098;24278;20789;17996;16508;19528;21768;48547;55023;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;2
11;Retail;Miscellaneous Store Retailers;Women's clothing stores;wedding dresses:80.0, jewelry:1.88, gift:1.88, dress:6.25, bridal:9.38, special event:5.0, store:1.25, gowns:26.25, bridal gowns:5.63, shoes:2.5, specialty retail:3.13, decor:6.25, clothing:1.88, wedding:11.25, wedding gowns:10.0, accessory:1.25;453.0;448120, 453;5621.0;5621;10 - 50;28.0;;453430000.0;1996.0;Lifestyle>FashionandApparel;890000.0;830000.0;740000.0;1250000.0;1050000.0;890000.0;142097;146816;126533;16442;10144;13684;14986;1674;2812;4376;18017;18455;20558;26238;False;False;False;False;False;False;False;False;False;True;True;True;True;False;False;False;False;False;False;False;4
12;Insurance;Insurance Carriers and Related Activities;Insurance Carriers;insurance:9.33, carrier:5.33, competitive rate:4.0, marketplace:5.33, software:0.67, auto insurance:20.0, car insurance:60.0, insurance carrier:5.33, technology:0.67, drivers:10.0, internet:1.33, insurance company:6.67;524.0;524, 524210;63.0;63, 6411;50 - 200;137.0;10000000 - 50000000;38904210.0;2012.0;Finance>Insurance;1200000.0;1150000.0;1250000.0;1450000.0;1250000.0;1350000.0;14104;13569;14513;470;1357;7026;43392;64865;156784;156862;192015;202987;216354;217257;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;2
